Departure Time,Destination,Destination Airport IATA,Flight No,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
09:00,Antigua,ANU,VS033,,,x,,,,
10:00,Antigua,ANU,VS033,,,,,x,,x
11:05,Barbados,BGI,VS029,x,x,x,x,x,x,x
12:20,Cancun,CUN,VS093,,,x,,,,
09:00,Grenada,GND,VS089,,x,,,,,
10:10,Grenada,GND,VS089,,,,,,x,
10:15,Havana,HAV,VS063,,,x,,,,
10:15,Havana,HAV,VS063,,x,,,x,,
10:15,Las Vegas,LAS,VS043,x,,,,,x,x
10:25,Las Vegas,LAS,VS043,,,,,x,,
10:35,Las Vegas,LAS,VS043,,x,x,x,,,
15:35,Las Vegas,LAS,VS044,x,x,x,x,x,x,x
12:25 ,Montego Bay,MBJ,VS065,,,,x,,,
12:40,Montego Bay,MBJ,VS065,x,,,,,,
10:10,Orlando,MCO,VS049,x,,,,,,
10:15,Orlando,MCO,VS027,,,,x,,,
11:00,Orlando,MCO,VS027,,x,,,,,
11:10,Orlando,MCO,VS049,,x,,,,,
11:20,Orlando,MCO,VS027,,,,,,x,x
11:35,Orlando,MCO,VS027,,,,,x,,
11:45,Orlando,MCO,VS027,x,,x,,,,
11:45,Orlando,MCO,VS049,,,,x,,,
13:00,Orlando,MCO,VS015,x,x,x,x,x,x,x
09:00,St Lucia,UVF,VS089,,x,,,,,
09:00,St Lucia,UVF,VS097,x,,,,,,
10:10,St Lucia,UVF,VS089,,,,,,x,
09:00,Tobago,TAB,VS097,x,,,,,,
